Country,Continent,2017population
Afghanistan,Asia,35530081
Albania,Europe,2930187
Algeria,Africa,41318142
American Samoa,Oceania,55641
Andorra,Europe,76965
Angola,Africa,29784193
Anguilla,North America,14909
Antigua and Barbuda,North America,102012
Argentina,South America,44271041
Armenia,Asia,2930450
Aruba,North America,105264
Australia,Oceania,24450561
Austria,Europe,8735453
Azerbaijan,Asia,9827589
"Bahamas, The",North America,395361
Bahrain,Asia,1492584
Bangladesh,Asia,164669751
Barbados,North America,285719
Belarus,Europe,9468338
Belgium,Europe,11429336
Belize,North America,374681
Benin,Africa,11175692
Bermuda,North America,61349
Bhutan,Asia,807610
Bolivia,South America,11051600
Bosnia and Herzegovina,Europe,3507017
Botswana,Africa,2291661
Brazil,South America,209288278
British Virgin Islands,North America,31196
Brunei,Asia,428697
Bulgaria,Europe,7084571
Burkina Faso,Africa,19193382
Burma,Asia,53370609
Burundi,Africa,10864245
Cabo Verde,Africa,546388
Cambodia,Asia,16005373
Cameroon,Africa,24053727
Canada,North America,36624199
Cayman Islands,North America,61559
Central African Republic,Africa,4659080
Chad,Africa,14899994
Chile,South America,18054726
China,Asia,1409517397
Colombia,South America,49065615
Comoros,Africa,813912
"Congo, Democratic Republic of the",Africa,81339988
Cook Islands,Oceania,17380
Costa Rica,North America,4905769
Cote D'ivoire,Africa,24294750
Croatia,Europe,4189353
Cuba,North America,11484636
Curacao,North America,160539
Cyprus,Asia,1179551
Czechia,Europe,10618303
Denmark,Europe,5733551
Djibouti,Africa,956985
Dominica,North America,73925
Dominican Republic,North America,10766998
Ecuador,South America,16624858
Egypt,Africa,97553151
El Salvador,North America,6377853
Equatorial Guinea,Africa,1267689
Eritrea,Africa,5068831
Estonia,Europe,1309632
Ethiopia,Africa,104957438
Falkland Islands (Islas Malvinas),South America,2910
Faroe Islands,Europe,49290
Fiji,Oceania,905502
Finland,Europe,5523231
France,Europe,64979548
French Polynesia,Oceania,283007
Gabon,Africa,2025137
"Gambia, The",Africa,2100568
Georgia,Asia,3912061
Germany,Europe,82114224
Ghana,Africa,28833629
Gibraltar,Europe,34571
Greece,Europe,11159773
Greenland,North America,56480
Grenada,North America,107825
Guam,Oceania,164229
Guatemala,North America,16913503
Guernsey,Europe,"63,026"
Guinea,Africa,12717176
Guinea-Bissau,Africa,1861283
Guyana,South America,777859
Haiti,North America,10981229
Holy See (Vatican City),Europe,792
Honduras,North America,9265067
Hong Kong,Asia,7364883
Hungary,Europe,9721559
Iceland,Europe,335025
India,Asia,1339180127
Indonesia,Asia,263991379
Iran,Asia,81162788
Iraq,Asia,38274618
Ireland,Europe,4761657
Isle of Man,Europe,84287
Israel,Asia,8321570
Italy,Europe,59359900
Jamaica,North America,2890299
Japan,Asia,127484450
Jersey,Europe,"100,080"
Jordan,Asia,9702353
Kazakhstan,Asia,18204499
Kenya,Africa,49699862
Kiribati,Oceania,116398
"Korea, North",Asia,25490965
"Korea, South",Asia,50982212
Kosovo,Europe,"1,920,079"
Kuwait,Asia,4136528
Kyrgyzstan,Asia,6045117
Laos,Asia,6858160
Latvia,Europe,1949670
Lebanon,Asia,6082357
Lesotho,Africa,2233339
Liberia,Africa,4731906
Libya,Africa,6374616
Liechtenstein,Europe,37922
Lithuania,Europe,2890297
Luxembourg,Europe,583455
Macau,Asia,622567
Macedonia,Europe,2083160
Madagascar,Africa,25570895
Malawi,Africa,18622104
Malaysia,Asia,31624264
Maldives,Seven seas (open ocean),436330
Mali,Africa,18541980
Malta,Europe,430835
Marshall Islands,Oceania,53127
Mauritania,Africa,4420184
Mauritius,Seven seas (open ocean),1265138
Mexico,North America,129163276
"Micronesia, Federated States of",Oceania,105544
Moldova,Europe,4051212
Monaco,Europe,38695
Mongolia,Asia,3075647
Montenegro,Europe,628960
Montserrat,North America,5177
Morocco,Africa,35739580
Mozambique,Africa,29668834
Namibia,Africa,2533794
Nauru,Oceania,11359
Nepal,Asia,29304998
Netherlands,Europe,17035938
New Caledonia,Oceania,276255
New Zealand,Oceania,4705818
Nicaragua,North America,6217581
Niger,Africa,21477348
Nigeria,Africa,190886311
Niue,Oceania,1618
Norfolk Island,Oceania,1748
Northern Mariana Islands,Oceania,55144
Norway,Europe,5305383
Oman,Asia,4636262
Pakistan,Asia,197015955
Palau,Oceania,21729
Panama,North America,4098587
Papua New Guinea,Oceania,8251162
Paraguay,South America,6811297
Peru,South America,32165485
Philippines,Asia,104918090
Pitcairn Islands,Oceania,50
Poland,Europe,38170712
Portugal,Europe,10329506
Puerto Rico,North America,3663131
Qatar,Asia,2639211
Romania,Europe,19679306
Russia,Europe,143989754
Rwanda,Africa,12208407
Saint Barthelemy,North America,"9,625"
"Saint Helena, Ascension, and Tristan da Cunha",Seven seas (open ocean),"5,633"
Saint Kitts and Nevis,North America,55345
Saint Lucia,North America,178844
Saint Martin,North America,"77,741"
Saint Pierre and Miquelon,North America,6320
Saint Vincent and the Grenadines,North America,109897
Samoa,Oceania,196440
San Marino,Europe,33400
Sao Tome and Principe,Africa,204327
Saudi Arabia,Asia,32938213
Senegal,Africa,15850567
Serbia,Europe,8790574
Seychelles,Seven seas (open ocean),94737
Sierra Leone,Africa,7557212
Singapore,Asia,5708844
Sint Maarten,North America,40120
Slovakia,Europe,5447662
Slovenia,Europe,2079976
Solomon Islands,Oceania,611343
Somalia,Africa,14742523
South Africa,Africa,56717156
South Sudan,Africa,12575714
Spain,Europe,46354321
Sri Lanka,Asia,20876917
Sudan,Africa,40533330
Suriname,South America,563402
Swaziland,Africa,1367254
Sweden,Europe,9910701
Switzerland,Europe,8476005
Syria,Asia,18269868
Taiwan,Asia,23626456
Tajikistan,Asia,8921343
Tanzania,Africa,57310019
Thailand,Asia,69037513
Timor-Leste,Asia,1325727
Togo,Africa,7797694
Tonga,Oceania,108020
Trinidad and Tobago,North America,1369125
Tunisia,Africa,11532127
Turkey,Asia,80745020
Turkmenistan,Asia,5758075
Turks and Caicos Islands,North America,35446
Tuvalu,Oceania,11192
Uganda,Africa,42862958
Ukraine,Europe,44222947
United Arab Emirates,Asia,9400145
United Kingdom,Europe,66181585
United States,North America,324459463
Uruguay,South America,3456750
Uzbekistan,Asia,31910641
Vanuatu,Oceania,276244
Venezuela,South America,31977065
Vietnam,Asia,95540800
Virgin Islands,North America,104901
Wallis and Futuna,Oceania,11773
Western Sahara,Africa,552628
Yemen,Asia,28250420
Zambia,Africa,17094130
Zimbabwe,Africa,16529904
